決心をする	と を 決心を こうと
冒険をする	を 冒険を
許諾を至る	を 許諾を
報道を逢う	て を 忍ばして、 報道を
自覚を与る	を 自覚を
自覚をうる	を 自覚を
建築を眺める	を 建築を
意味を示す	て と は よ を 意味を 神さんは 分っているよ」と
たい話を聞く	を たい話を
息を凝らす	て を 息を 切って、
注意を惹く	を 注意を
電話を切る	と に を 馬鹿にすると 電話を
電話をしまう	と に を 馬鹿にすると 電話を
挨拶をする	て と の は を 挨拶を 「今日」と 一息ついて 結ったの」小間使は
約束をする	に を 「それに○○博士夫人に 約束を
約束をしまう	に を 「それに○○博士夫人に 約束を
批評を加える	が て と な を 寒月君が 批評を 「なかなか振っていますな」と
清聴を煩わす	から て を 披瀝して、 清聴を ございますから、
真似をやる	て と は を 思います」と 迷亭は 立ち上って 真似を
誤解を生ずる	を 誤解を
刺激を与える	だけ で に を 局部だけに 刺激を 抓んで、
発達を致す	が て は を 発達を 応ずるが 時は、 比例して
抗議を申し込む	が て を 寒月君が あって 抗議を
復讐をやる	て と は を 寒月君は よしていただきましょう」と 復讐を
比例を失する	を 比例を
議論を好む	を 議論を
出入を禁ずる	を 出入を
遠慮をする	に を ものに 遠慮を
探偵をする	を 探偵を
想像をする	ながら を ついでながら 想像を
談話を承る	て を 行って 談話を
下宿をする	が に を いっしょに 私が 下宿を
下宿をいる	が に を いっしょに 私が 下宿を
学問をする	を 学問を
学問をいる	を 学問を
貧乏をする	を 貧乏を
侮辱をする	を 侮辱を
侮辱をおる	を 侮辱を
侮辱をなる	を 侮辱を
喧嘩をする	から が を ものですから 喧嘩を 仲間でしたが
出所をする	から でも と な を 禿頭だなと 出所を 下からでも
依頼をする	から と は を 依頼を 御客さんは 訳でありますから」と
同宿をする	から と は を 苦沙弥と 同宿を 君は 学生時代から
同宿をいる	から と は を 苦沙弥と 同宿を 君は 学生時代から
抵抗をする	を 抵抗を
洗髪を乾かす	を 洗髪を
観察を始める	から を 観察を 辺から
大発見をなす	に を 辺に 大発見を
露見を恐れる	を 露見を
試験をする	に を 国に 試験を
喧嘩を譲る	を 喧嘩を
随行を命ずる	へ を 所へ 随行を
随行をられる	へ を 所へ 随行を
平均を破る	を 平均を
平均を破る	を 平均を
平均をする	を 平均を
質問をかける	かい と は を 質問を 主人は 「そりゃ本ものかい」と
情死をする	と を 金と 情死を
試験を受ける	を 試験を
撰をする	から が て を 云って 撰を 自から 男であるが、
撰をいる	から が て を 云って 撰を 自から 男であるが、
喧嘩をする	と を 鼻と 喧嘩を
解釈を聞く	を 解釈を
説明を与える	て と は を 鈴木君は ないか」と 説明を つけて
吶喊を喰う	て と を まごまごしているとまた 吶喊を
噂をする	を 噂を
問答をやる	で を 問答を 禅家で
外出をする	でも を 外出を 僕あいつでも
詰問を受ける	を 詰問を
著述をする	が を 百日紅が 著述を
賭をする	を 賭を
賭をする	から を 賭を 思ったから
質問をする	か が と のに は を 質問を 迷亭君自身が 書かんのにか」と 今度は
埋合せをする	を 埋合せを
説法を受ける	て を 逢って 説法を
研究をする	について を 鼻についてまた 研究を
説明をする	を 説明を
依頼をうける	で を 依頼を 極楽主義で
講義をする	で を 講義を 巴里大学で
刺激を与える	たり て に を 耳底に 刺激を 続いたりして
休養を欲する	は を 休養を 状態は
倹約をする	と を 倹約を あくまいと
戸締をなる	を 戸締を
息を凝らす	を 息を
観察を積む	が を 人間自身が 観察を
変化を求める	て を 消耗して 変化を
製造を負う	を 製造を
変化を示す	を 変化を
左右を見る	を 左右を
変化をあらわす	に を 上に 変化を
変化を生じる	と に を 自然と 発音に 変化を
変化をくる	と に を 自然と 発音に 変化を
変化を生ずる	に に の まで を を 今日のごとく 変化を 目まぐるしきまでに 顔を 天日に
変化をしめる	に に の まで を を 今日のごとく 変化を 目まぐるしきまでに 顔を 天日に
議論をする	て を 議論を あって
発展をする	を 発展を
休養を要する	は を 吾輩はまた 休養を
対談をする	が て と に を 巡査と 勝手口に 主人夫婦が 対談を 晴れ渡って
対談をいる	が て と に を 巡査と 勝手口に 主人夫婦が 対談を 晴れ渡って
相談をする	に対して は を 相談を 質問に対して 主人夫婦は
相談をいる	に対して は を 相談を 質問に対して 主人夫婦は
問答をする	を 問答を
問答をいる	を 問答を
戸締りをする	を 戸締りを
意味を聞かす	を 意味を
告訴を返る	を 告訴を
告訴をする	から を 告訴を 今から
約束を覚える	を 約束を
約束をいる	を 約束を
真似をする	と も を 妹も 真似を 云うと
真似をする	が と も を 真似を きくと 今度もまた 妹が
返事をする	と を 返事を 這入りました」と
借金をする	を 借金を
